Title,Emojis,Hint,Category,Difficulty
The Hobbit,🧙‍♂️🐲💍,A hobbit goes on an unexpected journey,Books,Easy
The Hunger Games,🏹🔥 distrito,A girl volunteers to take her sister's place in a deadly competition,Books,Easy
The Very Hungry Caterpillar,🐛🍎🍃,A picture book about a caterpillar's life cycle,Books,Easy
Where the Wild Things Are,👹👑⛵,A boy's adventure to an island inhabited by monsters,Books,Easy
Green Eggs and Ham,🍳🍖🟢,A character is pestered to try a particular dish,Books,Easy
The Cat in the Hat,🐱🎩🏠,A tall, mischievous cat visits two children on a rainy day,Books,Easy
Charlie and the Chocolate Factory,🍫🏭🎫,A poor boy wins a tour of the most eccentric candy factory,Books,Easy
Alice in Wonderland,🐇🎩☕,A girl falls down a rabbit hole into a fantasy world,Books,Easy
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe,🦁🧙‍♀️🚪,Four siblings discover a magical world in a wardrobe,Books,Easy
A Wrinkle in Time,⏳💫🌌,A young girl's journey through space and time to find her father,Books,Easy
The Giving Tree,🌳👦🍎,The story of a tree's lifelong relationship with a boy,Books,Easy
Diary of a Wimpy Kid,📓👦🧀,The journal of a middle-school boy,Books,Easy
Percy Jackson & The Olympians: The Lightning Thief,⚡️🔱🌊,A boy discovers he is the son of a Greek god,Books,Easy
The Little Prince,🤴🌹🦊,A young prince visits various planets in space,Books,Easy
The Polar Express,🚂🔔🎅,A boy's magical train ride to the North Pole,Books,Easy
Holes,🕳️🦎🏜️,Boys at a juvenile detention camp are forced to dig holes,Books,Easy
The Secret Garden,🔑🌸🌿,An orphan discovers a magical hidden garden,Books,Easy
Charlotte's Web,🕷️🕸️🐷,The story of a friendship between a pig and a spider,Books,Easy
The BFG,🧑‍🤝‍🧑👂😴,A young girl befriends a Big Friendly Giant,Books,Easy
Matilda,👧📚✨,A gifted girl with telekinetic powers,Books,Easy
The Great Gatsby,🥂💚💡,A mysterious millionaire's obsession with a former love,Books,Hard
1984,👁️📺✍️,A man in a totalitarian society rewrites history,Books,Hard
To Kill a Mockingbird,🐦⚖️👧,A lawyer defends a black man in the racially charged South,Books,Hard
Dune,🏜️🐛✨,The story of a noble family's battle for control of a desert planet,Books,Hard
Brave New World,💊🏭👶,A dystopian novel about a society engineered for stability,Books,Hard
Fahrenheit 451,🔥📚👨‍🚒,A future American society where books are outlawed,Books,Hard
Moby Dick,🐳🐋 Ahab,The captain of a whaling ship seeks revenge on a giant whale,Books,Hard
The Catcher in the Rye,⚾️🧢🏙️,A few days in the life of a cynical teenager,Books,Hard
Pride and Prejudice,💃🎩💌,The story of five unmarried sisters in 19th-century England,Books,Hard
War and Peace,⚔️🕊️🇷🇺,A novel that chronicles the history of the French invasion of Russia,Books,Hard
The Odyssey,⛵️🌀🌊,An epic poem about a Greek hero's journey home after the Trojan War,Books,Hard
Frankenstein,🧟‍♂️⚡️👨‍🔬,A young scientist creates a sapient creature in an unorthodox scientific experiment,Books,Hard
Don Quixote,🐴🛡️🌬️,A Spanish nobleman who reads so many chivalric romances that he loses his sanity,Books,Hard
Crime and Punishment,斧💰🤔,A poor ex-student in St. Petersburg formulates a plan to kill an unscrupulous pawnbroker,Books,Hard
One Hundred Years of Solitude,家族⏳🦋,The multi-generational story of the Buendía family,Books,Hard
The Sound and the Fury,🌹🕰️🗣️,The story of the decline of a Southern family,Books,Hard
Ulysses,🚶‍♂️🏙️🇮🇪,Chronicles the appointments and encounters of Leopold Bloom in Dublin in the course of an ordinary day,Books,Hard
Slaughterhouse-Five,👽🕰️💣,An anti-war novel about the experiences of a soldier in World War II,Books,Hard
Heart of Darkness,🚢🇨🇬🖤,A voyage up the Congo River into the Congo Free State,Books,Hard
